obj           specfile                                                               teff   errhi_teff   errlo_teff   logg   errhi_logg   errlo_logg     av   errhi_av   errlo_av     rv   errhi_rv   errlo_rv         dl   errhi_dl   errlo_dl    fwhm   errhi_fwhm   errlo_fwhm    fsig   errhi_fsig   errlo_fsig           tau    errhi_tau    errlo_tau     fw   errhi_fw   errlo_fw        mu   errhi_mu   errlo_mu
sdssj172135   data/spectroscopy/mmt/sdssj172135-20150518-total.flm               19909.57       659.89       604.53   7.19         0.13         0.10   1.05       0.03       0.03   3.10       0.00       0.00    3644.09      73.03      62.34    3.70         2.41         1.83    4.55         8.93         2.32    2587.58496   3571.48326   1176.42502   0.03       0.04       0.02   57.6889     0.0305     0.0276
sdssj181424   data/spectroscopy/gemini/sdssj181424-20150427-total.flm            30805.72       325.19       258.01   7.88         0.05         0.05   0.01       0.01       0.01   3.10       0.00       0.00    2065.87      13.06      13.65    3.69         1.54         1.52    4.95         9.02         2.07     855.60220   1125.65778    283.82372   0.02       0.02       0.01   56.7098     0.0155     0.0125
sdssj181424   data/spectroscopy/mmt/sdssj181424-20150518-total.flm               30762.09       324.13       228.26   7.83         0.04         0.04   0.01       0.01       0.01   3.10       0.00       0.00    2179.87      12.60      13.56    7.31         1.00         1.06    6.76         8.30         1.86     633.60199    496.65516    108.09773   0.03       0.04       0.02   56.7072     0.0155     0.0112
sdssj203722   data/spectroscopy/gemini/sdssj203722-20140719-total.flm            39207.36      5055.47      3668.46   7.59         0.29         0.22   0.27       0.04       0.04   3.10       0.00       0.00    6009.79     284.45     245.79   18.71         3.48         5.75   36.89         9.63        15.45    1583.44250    420.40754    556.06787   0.02       0.03       0.02   59.2287     0.1127     0.1044
sdssj203722   data/spectroscopy/mmt/sdssj203722-20151012-total.flm               35269.39      2089.19      1707.79   7.80         0.21         0.17   0.22       0.03       0.03   3.10       0.00       0.00    5901.30     219.83     142.95   17.63         4.12         6.72    5.27        11.33         2.97    1817.22571   2635.61419    912.68821   0.04       0.07       0.03   59.1158     0.0643     0.0618
sdssj210150   data/spectroscopy/gemini/sdssj210150-20140720-total.flm            28734.81       575.08       544.43   7.90         0.06         0.06   0.13       0.02       0.02   3.10       0.00       0.00    4552.43      38.63      42.62    4.59         1.58         1.57   16.70        17.01         9.24    1881.81360   1372.59201    885.84934   0.02       0.03       0.02   58.5258     0.0269     0.0252
sdssj210150   data/spectroscopy/mmt/sdssj210150-20150518-total.flm               29061.96       515.94       536.08   7.85         0.09         0.08   0.14       0.02       0.02   3.10       0.00       0.00    5463.59      72.53      62.52    9.90         2.54         3.24    3.60         8.10         2.30    3412.41113   5942.87937   2116.21436   0.03       0.05       0.02   58.5404     0.0241     0.0246
sdssj210150   data/spectroscopy/mmt/sdssj210150-20151011.5-total.flm             28537.29       566.65       597.19   7.93         0.08         0.09   0.12       0.02       0.02   3.10       0.00       0.00    4490.41      52.65      55.03    4.81         2.76         2.24    3.96         9.30         2.03    1207.85590   1834.91687    527.55492   0.04       0.05       0.03   58.5167     0.0260     0.0273
sdssj232941   data/spectroscopy/gemini/sdssj232941-20150917-20151106-total.flm   21043.81       445.41       499.93   7.96         0.07         0.07   0.15       0.03       0.03   3.10       0.00       0.00    3368.90      31.04      28.81    4.02         1.96         1.59    3.95         9.16         2.24    1448.72919   2419.04656    709.20331   0.02       0.03       0.01   57.3521     0.0165     0.0183
sdssj232941   data/spectroscopy/mmt/sdssj232941-20151011-total.flm               21302.09       447.82       498.70   8.01         0.06         0.06   0.17       0.03       0.03   3.10       0.00       0.00    2504.24      22.36      23.61    6.50         1.49         1.40    9.34        12.92         4.30    1218.77625   1224.70148    504.31236   0.04       0.07       0.03   57.3598     0.0167     0.0185
sdssj235144   data/spectroscopy/gemini/sdssj235144-20150915-total.flm            41058.09      1993.02      1751.50   7.99         0.15         0.17   0.33       0.01       0.01   3.10       0.00       0.00    5049.86     122.38     125.81    6.78         4.51         3.95   12.08        15.55         6.13    2320.25159   1957.11253    993.19724   0.02       0.02       0.01   58.3459     0.0445     0.0424
sdssj235144   data/spectroscopy/mmt/sdssj235144-20150518-total.flm               45339.08      2402.46      2553.17   7.81         0.20         0.18   0.35       0.01       0.02   3.10       0.00       0.00    4572.59     175.49     118.93   10.81         6.38         6.23    6.93        14.70         5.02    2735.88281   3809.98828   1737.95630   0.03       0.04       0.02   58.4378     0.0444     0.0524
sdssj235144   data/spectroscopy/mmt/sdssj235144-20151011-total.flm               45686.60      3602.18      2382.48   7.69         0.13         0.13   0.35       0.02       0.01   3.10       0.00       0.00    4344.37     100.89     105.26   10.54         3.79         4.77   16.22        16.53         9.43    2812.57520   2058.89816   1404.18399   0.04       0.06       0.03   58.4454     0.0652     0.0481
wd0554        data/spectroscopy/gemini/wd0554-20140904-total.flm                 52474.05      3763.54      3120.49   8.96         0.22         0.24   0.05       0.01       0.01   3.10       0.00       0.00    3988.00     140.21      85.89    8.68         6.83         5.35    2.44         6.02         1.69    9181.09619   7194.18842   6179.85812   0.03       0.04       0.02   58.5846     0.0518     0.0466
wd0554        data/spectroscopy/imacs/wd0554-20150124-total.flm                  49267.64      2733.23      2191.32   9.01         0.15         0.14   0.04       0.01       0.01   3.10       0.00       0.00    6347.42     141.71      97.65   12.22         7.35         7.30    3.84        11.31         2.69    2365.29065   4347.23421   1442.38831   0.03       0.05       0.02   58.5365     0.0416     0.0357
