   OBJECT-NAME              FILTER    FITS-FILE               EXPTIME      BCKGRMS           X            Y           FMAG         ERRMAG           SKY          MJD   
                  GD-153    F475W    icmd62rxq_flc.fits      1.3000        4.9253         249.0987     250.1339      17.5157       0.0031          2.355     57164.0309
                  GD-153    F475W    icmd62ryq_flc.fits      1.3000        4.8696         249.1573     250.1315      17.5128       0.0031          1.891     57164.0316
                  GD-153    F475W    icmd62rzq_flc.fits      1.3000        4.9313         249.0928     250.1241      17.5121       0.0031          2.037     57164.0323
                  GD-153    F625W    icmd62s0q_flc.fits      1.6000        4.9067         248.9971     250.0470      18.1838       0.0039          1.298     57164.0333
                  GD-153    F625W    icmd62s1q_flc.fits      1.6000        4.9218         249.0196     250.0596      18.1696       0.0039          1.966     57164.0341
                  GD-153    F625W    icmd62s2q_flc.fits      1.6000        4.8841         248.9976     250.0640      18.1795       0.0039          1.385     57164.0348
                  GD-153    F775W    icmd62s3q_flc.fits      5.0000        4.9051         249.1331     251.9012      19.2457       0.0036          1.366     57164.0357
                  GD-153    F775W    icmd62s4q_flc.fits      5.0000        4.8492         249.1494     251.9131      19.2467       0.0036          0.718     57164.0365
                  GD-153    F775W    icmd62s5q_flc.fits      5.0000        4.8888         249.1322     251.9192      19.2547       0.0036          1.291     57164.0373
                  GD-153    F775W    icmd62s6q_flc.fits      5.0000        4.8231         249.1260     251.8998      19.2524       0.0036          0.628     57164.0380
